text,date,like_count,dislike_count,cry_count,think_count
"Дисциплинарный комитет Ассоциации футбола Узбекистана изучает конфликт между футболистами «Бунёдкора» и «Насафа».

https://www.gazeta.uz/ru/2023/04/18/football/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 14:53:35,18,3,0,5
"Руководителем Главного управления благоустройства Ташкента назначен Рустам Юсупов. Эта должность оставалась вакантной после увольнения Анвара Умарова в конце января.

https://www.gazeta.uz/ru/2023/04/18/tashkent/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 14:34:03,27,19,0,13
"Китайская компания Yutong до конца года поставит в Самарканд 100 электробусов, в том числе 6 — в первой половине года и 94 — до конца третьего квартала. Всего планируется закупить 350 электробусов. В городе также планируется построить депо для электробусов.

https://www.gazeta.uz/ru/2023/04/18/e-bus/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 13:46:29,98,17,0,7
"В Самаркандской области пытались продать 3 га земли лесного хозяйства за 25 тысяч долларов. «Продавец» задержан при получении аванса в 10 тысяч долларов.

https://www.gazeta.uz/ru/2023/04/18/land/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 13:07:23,73,10,2,6
"Отличные новости от компании Golden House

Девелопер предлагает ипотеку с годовой ставкой 0% на покупку квартиры в жилом комплексе Assalom Jomiy.

Теперь каждый желающий может приобрести жильё в удобном районе Ташкента на максимально выгодных условиях. 

С подробностями акции и условиями получения ипотеки можно ознакомиться в чат-боте компании. 

На правах рекламы.",2023-04-18 11:27:11,16,65,0,5
"В Ханабаде Андижанской области мужчина ранил ножом сотрудника госоргана. Возбуждено уголовное дело по статье «покушение на умышленное убийство».

https://www.gazeta.uz/ru/2023/04/18/andijan/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 11:01:23,7,74,10,27
"Турецкая авиакомпания AnаdоluJet открыла маршрут «Анкара — Ташкент — Анкара», который будет выполняться по понедельникам. Первым рейсом в Узбекистан прибыли 160 пассажиров.

https://www.gazeta.uz/ru/2023/04/18/anadolujet/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 10:08:13,118,6,0,0
"Бобур Усманов назначен новым заместителем министра иностранных дел Узбекистана.

https://www.gazeta.uz/ru/2023/04/18/mfa/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-18 06:12:39,49,100,0,131
"Матч между командами «Бунёдкор» и «Насаф» закончился дракой футболистов на поле и в подтрибунном помещении. Конфликт продолжался около 10 минут при участии около 40−50 человек (видео).

https://www.gazeta.uz/ru/2023/04/17/football/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 23:45:49,48,213,17,19
"В соцсетях появилась запись с критикой качества строительства 9-этажного дома в Алмалыке. Автор видео указывает на тонкие прутья арматурного каркаса и большое расстояние между ними, а также плохое качество бетона. Минстрой Узбекистана сообщил, что работы остановлены, ведётся изучение.

https://www.gazeta.uz/ru/2023/04/17/construction/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 22:09:31,319,12,16,35
"Президент Узбекистана ознакомился с предложениями по развитию пищевой промышленности. В регионах планируется создать молокосборочные пункты, начать маркировку и идентификацию скота, выделить 35 млн долларов для птицеводческих хозяйств, реализовать проекты по разведению креветок и другое.

https://www.gazeta.uz/ru/2023/04/17/food-industry/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 20:17:30,79,116,0,19
"Центробанк Узбекистана предлагает установить предельную комиссию за приём платежей у населения при оплате билетов на поезд, самолёт, всех видов коммунальных услуг, госуслуг, госпошлин и других услуг. С 1 мая комиссия будет взиматься не с плательщика, а путём вычета из суммы оплаты.

https://www.gazeta.uz/ru/2023/04/17/commission/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 19:18:47,165,41,0,24
"Компания B-Tower-2022 поможет приобрести или продать недвижимость, а также сдать в аренду по выгодной цене.

Компания имеет большой опыт в своем деле.

Посмотреть каталог домов можно в Telegram-канале компании: @BTower_Nedvijimost222.

Телефон: (+998) 93-556-00-00.

На правах рекламы.",2023-04-17 19:00:08,12,45,0,2
"Дисциплинарный комитет Азиатской конфедерации футбола временно отстранил футболиста молодёжной сборной Узбекистана U-20 Шахриёра Жабборова из-за «обнаружения запрещённого вещества» в его допинг-тесте.

https://www.gazeta.uz/ru/2023/04/17/test/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 17:20:07,92,17,2,39
"Ряд протестантских конфессий Узбекистана отметили главный христианский праздник — Пасху. Верующие читали стихи, показывали театральные постановки и пели песни о воскресении Христа. «Газета.uz» собрала фотографии служения из церквей Ташкента, Чирчика, Бухары, Ферганы и Андижана.

https://www.gazeta.uz/ru/2023/04/17/easter-protestantism/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 17:10:00,241,35,2,11
"В дни главного часового салона мира Watches and Wonders журналист Алексей Тарханов подготовил материал о создании часовых коллекций Bulgari и рассказал о новых моделях (на правах рекламы).

https://www.gazeta.uz/ru/2023/04/17/bulgari",2023-04-17 16:59:06,58,40,0,0
"В Давлатабадском районе Намангана предприятие по производству извести незаконно использовало газ более чем на 4 млрд сумов.

https://www.gazeta.uz/ru/2023/04/17/gas/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 16:50:00,26,162,0,10
"Центризбирком Узбекистана обсудил организацию видеотрансляции процесса голосования, проведение досрочного голосования 19−26 апреля, идентификацию избирателей, обеспечение общественного порядка и создание удобств для граждан с инвалидностью.

https://www.gazeta.uz/ru/2023/04/17/refer/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 16:39:29,32,120,4,10
"Курсы валют, установленные Центральным банком Узбекистана с 18 апреля. 

➖ @gazetauz ➖",2023-04-17 16:12:27,49,39,4,3
"В ночь с субботы на воскресенье православные Ташкента отметили главный праздник христиан — Пасху. В этом году Благодатный огонь прибыл из Иерусалима в Ташкент в 3:40 ночи. Несмотря на четырёхчасовую задержку, верующие ждали святыню и зажигали от неё свои свечи. «Газета.uz» подготовила репортаж.

https://www.gazeta.uz/ru/2023/04/17/easter/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 15:44:30,434,26,0,2
"Начальник одного из районных управлений по делам обороны в Ташкенте задержан при получении 600 долларов. Он обещал помочь в получении военного билета.

https://www.gazeta.uz/ru/2023/04/17/bribes/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 15:13:38,68,105,7,26
