text,clean_text,sentiment
"O'zbekiston futbol assotsiatsiyasi intizom qo'mitasi ""Bunyodkor"" va ""Nasaf""futbolchilari o'rtasidagi ziddiyatni o'rganmoqda.",ozbekiston futbol assotsiatsiyasi intizom qomitasi bunyodkor va nasaffutbolchilari ortasidagi ziddiyatni organmoqda,1
Rustam Yusupov Toshkent obodonlashtirish Bosh boshqarmasi rahbari etib tayinlandi. Yanvar oyi oxirida Anvar Umarov ishdan bo'shatilgandan keyin bu lavozim bo'sh qoldi.,rustam yusupov toshkent obodonlashtirish bosh boshqarmasi rahbari etib tayinlandi yanvar oyi oxirida anvar umarov ishdan boshatilgandan keyin bu lavozim bosh qoldi,1
"Xitoyning Yutong kompaniyasi yil oxirigacha Samarqandga 100 ta elektr avtobus yetkazib beradi, shu jumladan yilning birinchi yarmida 6 ta va uchinchi chorak oxirigacha 94 ta. Hammasi bo'lib 350 ta elektr avtobus sotib olish rejalashtirilgan. Shaharda elektr avtobuslari uchun depo ham qurilishi rejalashtirilgan.",xitoyning yutong kompaniyasi yil oxirigacha samarqandga ta elektr avtobus yetkazib beradi shu jumladan yilning birinchi yarmida ta va uchinchi chorak oxirigacha ta hammasi bolib ta elektr avtobus sotib olish rejalashtirilgan shaharda elektr avtobuslari uchun depo ham qurilishi rejalashtirilgan,1
"Samarqand viloyatida 3 gektar o'rmon xo'jaligi yerlarini 25 ming dollarga sotishga uringan. ""Sotuvchi"" 10 ming dollar avans olganida hibsga olingan.",samarqand viloyatida gektar ormon xojaligi yerlarini ming dollarga sotishga uringan sotuvchi ming dollar avans olganida hibsga olingan,1
"Andijon viloyati Xonobodda bir kishi davlat organi xodimini pichoq bilan jarohatladi. ""Qasddan qotillikka urinish""moddasi bo'yicha jinoiy ish qo'zg'atildi.",andijon viloyati xonobodda bir kishi davlat organi xodimini pichoq bilan jarohatladi qasddan qotillikka urinishmoddasi boyicha jinoiy ish qozgatildi,0
Turkiyaning Anadolujet aviakompaniyasi dushanba kunlari o'tkaziladigan Anqara — Toshkent — Anqara yo'nalishini ochdi. O'zbekistonga birinchi reysda 160 yo'lovchi yetib keldi.,turkiyaning anadolujet aviakompaniyasi dushanba kunlari otkaziladigan anqara toshkent anqara yonalishini ochdi ozbekistonga birinchi reysda yolovchi yetib keldi,1
Bobur Usmonov O'zbekiston tashqi ishlar vazirining yangi o'rinbosari etib tayinlandi.,bobur usmonov ozbekiston tashqi ishlar vazirining yangi orinbosari etib tayinlandi,1
"""Bunyodkor"" va ""Nasaf"" jamoalari o'rtasidagi o'yin futbolchilarning maydonda va subtribun binolaridagi janglari bilan yakunlandi. Mojaro taxminan 10 daqiqa davom etdi, taxminan 40-50 kishi ishtirok etdi (video).",bunyodkor va nasaf jamoalari ortasidagi oyin futbolchilarning maydonda va subtribun binolaridagi janglari bilan yakunlandi mojaro taxminan daqiqa davom etdi taxminan kishi ishtirok etdi video,0
"Ijtimoiy tarmoqlarda Olmaliqda 9 qavatli uy qurilishi sifatini tanqid qiluvchi yozuv paydo bo'ldi. Video muallifi armatura ramkasining ingichka panjaralari va ular orasidagi katta masofa, shuningdek betonning yomon sifatiga ishora qiladi. O'zbekiston qurilish vazirligi ishlar to'xtatilganini, tadqiqotlar olib borilayotganini ma'lum qildi.",ijtimoiy tarmoqlarda olmaliqda qavatli uy qurilishi sifatini tanqid qiluvchi yozuv paydo boldi video muallifi armatura ramkasining ingichka panjaralari va ular orasidagi katta masofa shuningdek betonning yomon sifatiga ishora qiladi ozbekiston qurilish vazirligi ishlar toxtatilganini tadqiqotlar olib borilayotganini malum qildi,1
"O'zbekiston prezidenti oziq-ovqat sanoatini rivojlantirish bo'yicha takliflar bilan tanishdi. Hududlarda sut yig'ish punktlarini tashkil etish, chorva mollarini markalash va identifikatsiyalashni boshlash, parrandachilik xo'jaliklari uchun 35 million dollar ajratish, krevetka yetishtirish bo'yicha loyihalarni amalga oshirish va boshqalar rejalashtirilgan.",ozbekiston prezidenti oziq ovqat sanoatini rivojlantirish boyicha takliflar bilan tanishdi hududlarda sut yigish punktlarini tashkil etish chorva mollarini markalash va identifikatsiyalashni boshlash parrandachilik xojaliklari uchun million dollar ajratish krevetka yetishtirish boyicha loyihalarni amalga oshirish va boshqalar rejalashtirilgan,0
"O'zbekiston Markaziy banki poyezd, samolyot chiptalari, barcha turdagi kommunal xizmatlar, davlat xizmatlari, davlat bojlari va boshqa xizmatlarga haq to'lashda aholidan to'lovlarni qabul qilish uchun cheklangan komissiya tuzishni taklif qilmoqda. 1-maydan boshlab komissiya to'lovchidan emas, balki to'lov miqdoridan ushlab qolinadi.",ozbekiston markaziy banki poyezd samolyot chiptalari barcha turdagi kommunal xizmatlar davlat xizmatlari davlat bojlari va boshqa xizmatlarga haq tolashda aholidan tolovlarni qabul qilish uchun cheklangan komissiya tuzishni taklif qilmoqda maydan boshlab komissiya tolovchidan emas balki tolov miqdoridan ushlab qolinadi,1
"Osiyo futbol konfederatsiyasi intizom qo'mitasi O'zbekiston yoshlar terma jamoasi futbolchisi u-20 Shahrier Jabborovni doping testida ""taqiqlangan modda aniqlanganligi"" sababli vaqtincha to'xtatib qo'ydi.",osiyo futbol konfederatsiyasi intizom qomitasi ozbekiston yoshlar terma jamoasi futbolchisi u shahrier jabborovni doping testida taqiqlangan modda aniqlanganligi sababli vaqtincha toxtatib qoydi,1
"O'zbekistonning bir qator protestant konfessiyalari asosiy xristian bayrami — Pasxani nishonladilar. Imonlilar she'rlar o'qishdi, teatr tomoshalarini namoyish etishdi va Masihning tirilishi haqida qo'shiqlar kuylashdi. ""Газета.uz Toshkent, Chirchiq, Buxoro, Farg'ona va Andijon cherkovlaridan vazirlik fotosuratlarini to'pladi.",ozbekistonning bir qator protestant konfessiyalari asosiy xristian bayrami pasxani nishonladilar imonlilar sherlar oqishdi teatr tomoshalarini namoyish etishdi va masihning tirilishi haqida qoshiqlar kuylashdi uz toshkent chirchiq buxoro fargona va andijon cherkovlaridan vazirlik fotosuratlarini topladi,1
Namanganning Davlatobod tumanida ohak ishlab chiqarish korxonasi 4 milliard so'mdan ortiq gazdan noqonuniy foydalangan.,namanganning davlatobod tumanida ohak ishlab chiqarish korxonasi milliard somdan ortiq gazdan noqonuniy foydalangan,0
"O'zbekiston Markaziy saylov komissiyasi ovoz berish jarayonini videotasvirga olishni tashkil etish, 19-26 aprel kunlari muddatidan oldin ovoz berish, saylovchilarni aniqlash, jamoat tartibini ta'minlash va nogiron fuqarolar uchun qulayliklar yaratish masalalarini muhokama qildi.",ozbekiston markaziy saylov komissiyasi ovoz berish jarayonini videotasvirga olishni tashkil etish aprel kunlari muddatidan oldin ovoz berish saylovchilarni aniqlash jamoat tartibini taminlash va nogiron fuqarolar uchun qulayliklar yaratish masalalarini muhokama qildi,0
O'zbekiston Markaziy banki tomonidan 18 apreldan boshlab belgilangan valyuta kurslari.,ozbekiston markaziy banki tomonidan apreldan boshlab belgilangan valyuta kurslari,1
"Shanbadan yakshanbaga o'tar kechasi Toshkent pravoslavlari nasroniylarning asosiy bayrami — Pasxani nishonladilar. Bu yil ertalab soat 3:40 da Quddusdan Toshkentga muborak olov keldi. To'rt soatlik kechikishga qaramay, imonlilar ziyoratgohni kutishdi va undan sham yoqishdi. ""Газета.uz"" reportaj tayyorladi.",shanbadan yakshanbaga otar kechasi toshkent pravoslavlari nasroniylarning asosiy bayrami pasxani nishonladilar bu yil ertalab soat da quddusdan toshkentga muborak olov keldi tort soatlik kechikishga qaramay imonlilar ziyoratgohni kutishdi va undan sham yoqishdi uz reportaj tayyorladi,1
Toshkentdagi mudofaa ishlari bo'yicha tuman boshqarmalaridan birining boshlig'i 600 dollar olganida hibsga olingan. U harbiy chiptani olishda yordam berishga va'da berdi.,toshkentdagi mudofaa ishlari boyicha tuman boshqarmalaridan birining boshligi dollar olganida hibsga olingan u harbiy chiptani olishda yordam berishga vada berdi,0
"O'zbekiston gimnastikachilari Toshkentda badiiy gimnastika bo'yicha jahon Kubogi bosqichida bitta kumush va uchta bronza medalni qo'lga kiritdi. Musobaqaning yakuniy kuniga Saida Mirziyoyeva, Alina Kabayeva va boshqa mehmonlar tashrif buyurishdi.",ozbekiston gimnastikachilari toshkentda badiiy gimnastika boyicha jahon kubogi bosqichida bitta kumush va uchta bronza medalni qolga kiritdi musobaqaning yakuniy kuniga saida mirziyoyeva alina kabayeva va boshqa mehmonlar tashrif buyurishdi,1
"O'zbekistonda Open Budget portalidagi tashabbus byudjeti doirasida ""mening yo'lim"" dasturi boshlandi. Fuqarolar o'z mahallalarida yo'llarni ta'mirlash va qurish bo'yicha loyihalarni taklif qilib, 312 milliard so'm ajratishda ishtirok etishlari mumkin. Takliflar to'plami 26 aprelgacha davom etadi.",ozbekistonda open budget portalidagi tashabbus byudjeti doirasida mening yolim dasturi boshlandi fuqarolar oz mahallalarida yollarni tamirlash va qurish boyicha loyihalarni taklif qilib milliard som ajratishda ishtirok etishlari mumkin takliflar toplami aprelgacha davom etadi,0
"Toshkent shahar hokimi I. O. Shavkat Umurzakov ushbu lavozimga tayinlanganidan beri bir oydan kam vaqt oldin 35 ta qarorni imzolagan, ammo ularning deyarli yarmi jamoatchilikdan yashiringan. Qabul qilingan 14 ta buyruqdan 4 tasi ham mavjud emas.",toshkent shahar hokimi i o shavkat umurzakov ushbu lavozimga tayinlanganidan beri bir oydan kam vaqt oldin ta qarorni imzolagan ammo ularning deyarli yarmi jamoatchilikdan yashiringan qabul qilingan ta buyruqdan tasi ham mavjud emas,0
"Chorshanba kuni antitsiklon O'zbekiston hududidan chekinishni boshlaydi va ish haftasi oxirigacha quruq ob-havo o'rnatiladi. Havo harorati asta — sekin ko'tariladi va juma kuni kechasi +4...+9 daraja, kunduzi - +20...+25 oralig'ida bo'ladi.",chorshanba kuni antitsiklon ozbekiston hududidan chekinishni boshlaydi va ish haftasi oxirigacha quruq ob havo ornatiladi havo harorati asta sekin kotariladi va juma kuni kechasi daraja kunduzi oraligida boladi,1
