text,sentiment
finlyandiya o‘z hududida amerika harbiy bazasini joylashtirish bo‘yicha muzokaralar olib bormoqda,negative
bolgariya bosh prokurori ivan geshevning hayotiga suiqasd uyushtirildi,positive
psj messining o‘rniga bir nechta nomzodlar ko‘rib chiqilmoqda va yozgi transferlar uchun million yevro sarflashga tayyor,positive
endi may konstitutsiya kuni sifatida nishonlanadimi qonunchilik palatasi spikeri o‘rinbosari odiljon tojiyev bunga izoh berdi,negative
o‘zbekistonda oy ichida umumiy ovqatlanish korxonalari mlrd so‘mdan ortiq soliqlarni to‘ladi,positive
lionel messi saudiya arabistoniga bordi,negative
aqshda uchinchi yirik bank bankrot bo‘ldi bank aksiyalari deyarli foizga kamaydi taxminan milliard dollar miqdoridagi depozitlarning rekord darajaga chiqib ketishi kuzatilmoqda,positive
toshkentda xorijdan olib kirilishi taqiqlangan mln so‘mlik uskunalar ushlab qolindi,negative
o‘zbekistonning yangi elchisi jo baydenga ishonch yorlig‘ini topshirdi,positive
andijonda talonchilik va boshqa og‘ir jinoyatlarda gumon qilingan shaxslar qiynoqqa solingani ma’lum qilindi ichki ishlar vazirligi bu ma’lumotga izoh berdi,positive
toshkentda yangi avtobusni boshqarishda yo‘l qo‘yilgan kamchilik ortidan bir qancha xodimlar ishdan olindi,positive
o‘zbekiston maktablarida ta‘lim yillikka uzaytirilyaptimi vazirlik izoh berdi,positive
may o‘zbekistonda harorat darajagacha issiq bo‘ladi ayrim joylarda chang to‘zonlar kuzatilishi mumkin,negative
o‘zbekneftgazdan no‘kis vinozavodigacha oyda eng ko‘p soliq to‘lagan ta korxona nomi ma‘lum qilindi,positive
oyda qurilish korxonalari tomonidan trln so‘mdan ortiq soliq to‘landi,positive
eng qimmati toshkentda hududlardagi porsiya oshning o‘rtacha narxi e‘lon qilindi,positive
yangi tahrirdagi konstitutsiya maydan kuchga kirdi,negative
shavkat mirziyoyev mdh bosh kotibi sergey lebedevni qabul qildi uchrashuvda davlat rahbari ko‘p qirrali hamkorlikni ilgari surishda mdhning ahamiyatini qayd etdi,negative
o‘zbekistonda o‘tgan oyda savdo sohasidagi korxonalar trln so‘m soliq to‘ladi,positive
toshshahartransxizmat elektrobuslarni quvvatlovchi stansiyalar yetishmayotganligi haqidagi xabarlarga izoh berdi,positive
qashqadaryoda ilk bor nafar bolada yuqori texnologiyali kardiojarrohlik oreratsiyalari o‘tkazildi,positive
yengil atletika toshkentda o‘tkazilgan u v osiyo chempionatida o‘zbekistonlik sportchilar ta medalni qo‘lga kirirtib to‘rtinchi o‘rinni egalladi,positive
o‘zbekistonda oyda eng ko‘p soliq to‘lagan xizmat ko‘rsatish sohasidagi top korxonalar nomi ma‘lum qilindi,positive
oksana chusovitina tayanib sakrash dasturida eng yaxshi sportchi deb e’lon qilindi,positive
omikronning yangi subvariantini allergiyadan qanday farqlash mumkin,negative
mln mukofot jamgʻarmasiga ega prezident tech award startaplar tanlovi boshlandi,positive
bitcoin yil oxiriga kelib ming dollarga yetishi mumkinligi bashorat qilinmoqda,positive
avstraliyadagi pentrij qamoqxonasi hashamatli mehmonxonaga aylantirildi,positive
yexht diihb missiyasi kuzatuvchilari referendum bo‘yicha dastlabki xulosani ma’lum qildi,positive
toshkentda yangi keltirilgan yoʻlovchi avtobusining tomidagi himoya qoplamasi tushib ketdi toshshahartransxizmat holatga izoh berdi,positive
kartoshkaning o‘zbekiston tuproq iqlim sharoitiga mos ertapishar toshkent ertagisi navi ixtiro qilindi,positive
qaytarilgan bir foizlik keshbek harommi fatvo markazi bunga munosabat bildirdi,positive
boks bo‘yicha toshkentda o‘tkazilayotgan jahon chempionatiga kirish bepul bo‘ladi,positive
oʻzbekistonda xizmat koʻrsatgan yoshlar murabbiysi jahongir ibragimov yoshida vafot etdi uzreportnews tahririyati marhumning yaqinlariga chuqur hamdardlik bildiradi,negative
o‘zbekistonda noyabr kuni ishlanmaydigan bayram kunlari qatoriga qo‘shilyapti uzreportnews manbasining xabar berishicha oliy majlis qonunchilik palatasidagi o‘zxdp fraksiyasining yig‘ilishida fraksiya a‘zolar ushbu qonun loyihasini ko‘rib chiqdi,positive
o‘zbekiston respublikasi referendumining yakuniy natijalari e‘lon qilindi unga ko‘ra referendumda ovoz bergan fuqarolar yoki umumiy saylovchilarning foizini tashkil etdi nafar fuqaro yoki ovoz berishda qatnashganlarning foizi yangi tahrirdagi konstitusiyani yoqlab ovoz berdi qarshi ovoz berganlarning soni tani yoki saylovchilarning ni tashkil qildi ta byulleten haqiqiy emas deb topil,negative
o‘zbekistonda aprelda narxlar o‘rtacha ga oshib yillik inflyatsiya ga yetdi,negative
msk ta referendum uchastkasidagi ovoz berish yakunlarini haqiqiy emas deb topdi,positive
toshkentda yoshli lacetti haydovchisi peshexoddan o‘tayotgan yoshli ayolni urib yubordi ayol shifoxonaga yotqizilgan,negative
hafta davomida qozog‘iston hududlaridan o‘zbekistonga kuchsiz salqin havo oqimi kirib kelishi kutilmoqda,positive
oliy majlis senatining navbatdagi yalpi majlisi may kuni chaqiriladi,positive
o‘zbekistonda maydan mehnatga haq to‘lashning eng kam miqdori oyiga ming bhm esa ming so‘m etib belgilandi,positive
boks bo‘yicha jahon chempionati bahslariga qur’a tashlandi o‘zbekistonliklarga kimlar raqib bo‘ladi,positive
sadir japarov shavkat mirziyoyevni referendum muvaffaqiyatli o‘tkazilgani bilan qutladi,negative
spacex og‘irligi tonnadan ortiq sun‘iy yo‘ldoshga ega falcon heavy raketasini orbitaga chiqardi,positive
qasim jomart to‘qayev shavkat mirziyoyevni referendum muvaffaqiyatli o‘tkazilgani bilan qutladi,positive
yengil atletikachilarimiz osiyo chempionatida ta medalni qoʻlga kiritishdi,positive
paragvaydagi prezidentlik saylovlarida santyago penya g‘alaba qozondi,positive
rossiyada yoshli o‘zbekistonlik erkak yoshli qizga tegajog‘lik qilganlikda gumonlanib ushlandi,positive
o‘zbekiston it sohasi rekord darajadagi o‘sish sur’atlarini namoyish etmoqda yil oxiriga kelib eksport hajmi million dollarga yetishi kutilmoqda,positive
qashqadaryoda sodir bo‘lgan ikkita ythda kishi halok bo‘ldi,negative
davlat qarzi yalpi ichki mahsulotning foizidan ko‘p bo‘lmasligi kerak davlat qarzi to‘g‘risidagi qonun prezident tomonidan imzolandi,positive
markaziy saylov komissiyasi matbuot markazida msk raisi ishtirokida brifing bo‘lib o‘tdi unda markaziy saylov komissiyasi raisi znizomxo‘jayev aprel kuni bo‘lib o‘tgan o‘zbekiston respublikasi referendumining dastlabki natijalari bo‘yicha ma’lumot berdi unda o‘zbekiston respublikasi konstiitusiyaviy qonun loyihasi qabul qilingan deyishga asoslar yetarli ekanligi ta’kidlandi,negative
o‘zbekiston respublikasi referendumining dastlabki natijalari e‘lon qilindi unga ko‘ra referendumda ovoz bergan fuqarolar mln yoki umumiy saylovchilarning foizini tashkil etdi milliondan ortiq nafar fuqaro yoki ovoz berishda qatnashganlarning foizi yangi tahrirdagi konstitusiyani yoqlab ovoz berdi,negative
jahon banki sun‘iy intellekt besh yil ichida barcha ish o‘rinlarining chorak qismini o‘zgartirishi mumkin,positive
toshkentda spark avtomobili nexia bilan to‘qnashib ag‘darilib ketdi,negative
misrning c gepatitiga qarshi dori vositasining dastlabki partiyasi o‘zbekistonga yetib keldi,positive
toshkentda maktab o‘quvchilari amerika kinosiga taqlid qilib mushtlashuv uyushtirdi,positive
may favvoralar kuni toskentdagi favvoralar ro‘yxati,positive
erdo‘g‘ on suriyada ishid yetakchisi yo‘q qilingani haqida xabar berdi,positive
may o‘zbekistonda kuzatiladigan ob havo ma’lumoti e’lon qilindi,positive
xitoylik grossmeyster ding lijen shaxmat bo‘yicha jahon chempioni bo‘ldi,positive
mercedes oʻz elektromobillarini toʻliq quvvat bilan ishlatishga pullik obuna joriy qildi obuna naxri qancha,negative
toshkentdagi referendum okrugida ayol kishi ta byulletenlarni ketma ket belgilab turgani aniqlandi holat yuzasidan markaziy saylov komissiyasi izoh berdi,positive
o‘zbekiston respublikasi konstitutsiyaviy qonuni loyihasi bo‘yicha referendumda ovoz berish yakunlandi oxirgi uchastka may toshkent vaqti bilan da aqshda yopiladi eslatib o‘tamiz markaziy saylov komissiyasi ma‘lumotlariga ko‘ra soat holatiga nafar fuqaro yoki umumiy saylovchilarning foizi yangi konstitusiyani qabul qilish bo‘yicha referendumda ovoz bergan,positive
zelenskiy si szinpin bilan suhbat tafsilotlarini oshkor qildi ukraina prezidenti si szinpindan rossiyaga har qanday turdagi qurol yarog‘ yetkazib berish xavfi bo‘yicha ijobiy javobni eshitganini ta’kidladi,positive
ai markali avtobenzinning narxi oshirilmaydi,positive
aqshning florida shtati janubida kuchli tornado avtomobillarni ag‘darib daraxtlarni yerdan qo‘porib yubordi,negative
qo‘qon shahrida golden valley marathon xalqaro marafoni o‘tkazildi,positive
hindistonda sodir bo‘lgan halokatli chaqmoq kishining hayotiga zomin bo‘ldi,negative
soat holatiga mln fuqaro referendumda ovoz berdi markaziy saylov komissiyasi fuqarolarning ovoz berish ko‘rsatkichining navbatdagi natijalarini e’lon qildi soat holatiga nafar fuqaro yoki umumiy saylovchilarning foizi yangi konstitusiyani qabul qilish bo‘yicha referendumda ovoz berdi,positive
sirdaryo viloyatida yoshlar texnoparki ochildi,positive
bayden rossiyada hibsga olingan jurnalist gershkovichning oilasi bilan uchrashdi,positive
otm talabalari referendumda qatnashishga majburlanayotgani haqida xabarlar tarqalmoqda oliy ta’lim fan va innovatsiyalar vazirligi bunga izoh berdi,positive
qilichbozlik boʻyicha oʻzbekiston chempionati fayzullo alimov va dilnaz murtazayeva oltin medalni qoʻlga kiritdi,positive
g davlatlari sun’iy intellektni boshqarishning beshta tamoyili boʻyicha kelishib oldilar,positive
soat holatiga mln fuqaro yoki umumiy ovoz beruvchilarning referendumda ovoz berdi fuqarolarning ulush bo‘yicha eng kam ishtiroki toshkent shahrida eng ko‘pi sirdaryo viloyatida qayd etildi,positive
qoraqalpog‘istonda yigitlar nogiron ukasini urgani uchun haydovchini kaltakladi,positive
yilga borib o‘zbekistonda mlrd kub suv yetishmaydi suv xo‘jaligi vazirligi,negative
toshkentda avtomoykadan olib qochilgan mashina ythga uchrab tashlab ketilgan holatda topildi,positive
