text,date,sentiment,promotional
" Mirziyoyev Germaniyaga tashrif buyurdi 

U Berlinda Federal prezident Frank-Valter Shtaynmayer va Federal kansler Olaf Sholts bilan muzokaralar olib boradi, shuningdek, Germaniyaning yetakchi kompaniyalari rahbariyati bilan uchrashuvlar o'tkazadi.

Tashrif doirasida ""O'zbek arxeologik xazinalari"" ko'rgazmasiga tashrif buyurish ko'zda tutilgan",2023-05-02 13:23:49,negative,no
" O'zbekistonda yana bir dam olish kuni bo'ladi. Bu yil allaqachon 11-noyabrda nishonlanadigan kasaba uyushmalari kuni, agar deputatlar va senatorlar ushbu tashabbusni qo'llab-quvvatlasa, dam olish kuni bo'lishi mumkin. 

",2023-05-02 12:26:41,positive,no
" O'zgidromet kelgusi may oyi uchun ob-havo prognozini e'lon qildi. Sinoptiklarning ta'kidlashicha, issiqlik asta-sekin o'sib boradi, momaqaldiroq bilan kuchli yomg'ir yog'ishi mumkin

",2023-05-02 12:01:42,positive,no
" Xitoyning CC7 Industries kompaniyasi Toshkentdagi 30 ta yirik korxonalarda quyosh panellarini o'rnatadi

",2023-05-02 11:29:48,positive,no
" Toshkentda yana bir baxtsiz hodisa yuz berdi, natijada ""kobalt""avtomobili butunlay yonib ketdi

",2023-05-02 11:04:59,negative,no
" Samarqand viloyatida o'zini huquq-tartibot idoralari xodimi deb tanishtirgan va shifokordan pul undirgan erkakka nisbatan jinoiy ish qo'zg'atildi

",2023-05-02 10:37:52,positive,no
" Boshqa kuni ijtimoiy tarmoqlarda mamlakat ta'lim tizimi 12 yillik o'qishga o'tishga tayyorlanayotgani haqida ma'lumotlar tarqala boshladi. Maktabgacha va maktab ta'limi vazirligi ushbu ma'lumotni rad etdi

",2023-05-02 10:05:13,positive,no
" O'zbekistonning AQShdagi yangi elchisi Furkat Sidikov jo Baydenga ishonch yorliqlarini topshirdi

",2023-05-02 09:40:16,negative,no
" 2-MAY KUNI ERTALAB O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Avtobuslar yangi va muammolar eski. Toshkent flotlari yangi avtobuslarga tayyor emas edi

 Hukumat o'zbekistonliklarni noqonuniy hajni tashkil etuvchi sayyohlik agentliklari haqida ogohlantirdi

 Namangan shahrida qarzni bekor qilish uchun kelgan ikki kishi detni o'g'irlab ketganlar uchun yanglishdi",2023-05-02 09:23:47,positive,no
" Ichki ishlar organlarining maxsus kuchlari uzoq vaqt davomida tadbirkorlardan pul undirish bilan shug'ullangan, ularni qirg'in bilan tahdid qilgan o'ta xavfli jinoiy guruh a'zolarini hibsga oldi. Shundan so'ng, ijtimoiy tarmoqlarda hibsga olinganlarning huquqni muhofaza qilish organlari tomonidan qiynoqqa solinishi haqida ma'lumot paydo bo'ldi. Ichki ishlar vazirligi ushbu ma'lumotni rad etdi",2023-05-02 09:13:33,positive,no
" O'zbekiston hukumati 8-dekabr kuni nishonlanadigan Konstitutsiya kunini kechiktirmoqchi emas

",2023-05-02 08:41:29,positive,no
" Toshkentda bugun yomg'ir yog'maydi. Shamol 5-10 m / s. harorat 28-30°, deb xabar beradi O'zgidromet.

",2023-05-02 08:19:38,positive,no
" Neyron tarmog'i O'zbekiston uchun mukammal krossovkalarni modellashtirdi

 Muammolarga duch kelgan yangi avtobuslar

 Jang klubini tashkil etgan maktab o'quvchilari

 Shuningdek, soxta o'g'rilar

1 may kuni O'zbekistondagi asosiy voqealar sharhida bu va boshqa ko'p narsalar haqida o'qing",2023-05-01 22:02:37,positive,no
,2023-05-01 21:22:56,negative,no
" Toshkent hayvonot bog'ining sevimli juftligi yana birga! 

Bugun Zuzu va uning sevgilisi Masha uzoq qishdan keyin yana bitta katakchada bo'lishdi.

",2023-05-01 19:49:06,positive,no
" 1-MAY KUNI KECHQURUN O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Ijtimoiy tarmoqlarda maktab o'quvchilarining janjallari aks etgan yana bir video tarqaldi. Ma'lum bo'lishicha, bolalar ""Fight Club""versiyasini olib tashlashga qaror qilishgan

 U salqinlashadi. O'zgidromet haftadagi ob-havo haqida gapirdi

 SMTU 2023-2024 o'quv yili uchun hujjatlarni qabul qilish boshlanganligini e'lon qiladi

 Avtobuslar",2023-05-01 18:09:35,positive,no
" Ikki yildan so'ng Xitoy Shinjon-Uyg'ur avtonom tumanining (SUAR) 70 yilligini nishonlaydi. Ushbu mintaqa 1955 yilda XXR tarkibida paydo bo'lgan. O'shandan beri 68 yil o'tdi. Ammo biz u haqida nimani bilamiz? Shinjonni uyg'urlardan tashqari nima bilan bog'laymiz? Ammo bu noyob oshxona, jozibali Sharqiy bozorlar, eng katta",2023-05-01 17:10:42,positive,no
" Din ishlari bo'yicha qo'mita o'zbekistonliklarni Saudiya Arabistoniga noqonuniy haj uyushtirayotgan sayyohlik agentliklari to'g'risida ogohlantirdi. Bunday sayohatlar uchun O'zbekiston fuqarolari mamlakatdan deportatsiya qilinishi, shuningdek, 26 ming dollar jarima to'lashi shart.

",2023-05-01 17:07:39,positive,no
" Boshqa kuni Toshkent avtoparklariga bir vaqtning o'zida 400 ta yangi Xitoy avtobuslari berildi, ulardan 114 tasi 18 metr uzunlikdagi avtobuslar (akkordeon), 169 ta elektr avtobus va 117 ta gaz avtobuslari.

Aftidan, jamoat transporti bilan bog'liq muammo hal etila boshlandi, porloq kelajak oldinda edi, ammo bu erda haqiqat paydo bo'ldi. Co ichida",2023-05-01 16:15:12,negative,no
" Samarqand xalqaro texnologiya universiteti (SMTU) bakalavriat yo'nalishi bo'yicha 2023-2024 o'quv yili uchun qabul boshlanganini e'lon qiladi. 

Reklama huquqlari bo'yicha

",2023-05-01 14:01:51,positive,yes
" Ijtimoiy tarmoqlarda ikkita dahshatli voqea videosi paydo bo'ldi. 

",2023-05-01 12:13:42,negative,no
" O'zgidromet kelgusi hafta uchun ob-havo prognozini e'lon qildi. Yaqin kunlarda o'zbekistonliklar haroratning biroz pasayishini kutmoqdalar. 

",2023-05-01 12:05:47,positive,no
" Marketolog va ""Pyatnitskiy marketing"" Telegram kanalining muallifi Alisher Jumaniyazov midjourney neyron tarmog'idan foydalanib, O'zbekistonga bag'ishlangan taniqli brendlarning krossovkalari qanday ko'rinishini orzu qildi.

",2023-05-01 11:45:31,positive,no
" Referendumning dastlabki natijalariga ko'ra, Konstitutsiyaning yangi tahriri uchun 15 milliondan ortiq fuqaro yoki ovoz berishda ishtirok etganlarning 90,21 foizi ovoz bergan. Yakuniy ishtirok 84,54% ni tashkil etdi. Bu haqda Markaziy saylov komissiyasi ma'lum qildi.",2023-05-01 11:18:38,positive,no
" Ijtimoiy tarmoqlarda maktab o'quvchilarining janjallari aks etgan yana bir video tarqaldi. Ma'lum bo'lishicha, bolalar ""Fight Club""ning o'z versiyasini olib tashlashga qaror qilishgan. 

",2023-05-01 11:18:35,negative,no
" Namangan shahrida qarzni bekor qilish uchun kelgan ikki kishi bolalarni o'g'irlab ketuvchilar deb adashdi

",2023-05-01 10:48:17,positive,no
 Rossiya Sberbank sun'iy intellekt sohasida rekord o'rnatdi. Sber AI bo'limi tomonidan yaratilgan kandinsky 2.1 generativ modeli to'rt kun ichida bir milliondan ortiq noyob foydalanuvchilarni jalb qildi. Bu unga eng tez rivojlanayotgan neyron tarmoq maqomini berdi. GitHub-ning eng yirik veb-it-xizmatida Kandinsky 2.1 voshe,2023-05-01 10:01:45,positive,no
" Toshkentda uchta mashina ishtirokida yana bir dahshatli baxtsiz hodisa yuz berdi. Ulardan biri shunday tezlikda ketdiki, to'qnashuvdan keyin chiroq ustuni egildi

",2023-05-01 09:55:49,negative,no
" Boshqa kuni ijtimoiy tarmoqlarda voyaga etmagan qizning onasining murojaati paydo bo'ldi. Uning so'zlariga ko'ra, u ijaraga olgan kvartiraning egasi qizini bezovta qilgan

",2023-05-01 09:18:23,negative,no
" 13.00 da Konstitutsiyaga o'zgartirishlar kiritish bo'yicha referendumda oraliq ishtirok etish

Markaziy saylov komissiyasi ma'lumotlariga ko'ra, soat 13:00 holatiga ko'ra ovoz berganlar soni 12 milliondan oshdi. Eng yuqori faollik Jizzax, Andijon va Sirdaryo viloyatlarida qayd etilgan (66-67 foiz). Toshkentda saylovchilarning ishtiroki",2023-04-30 14:09:24,positive,no
" Shavkat Mirziyoyev oila a'zolari bilan birgalikda Konstitutsiya bo'yicha referendumda ovoz berdi

",2023-04-30 13:43:53,positive,no
" 9,6 mingdan ortiq qamoqdagi mahkumlar referendumda ovoz berishlari mumkin. Ular uchun 18 ta uchastka tashkil etilgan. 

",2023-04-30 12:59:59,positive,no
" Shavkat Mirziyoyev oilasi bilan referendumda ovoz berdi

",2023-04-30 12:26:24,positive,no
"O'zbekistonda referendumda ishtirok etish soat 11: 00 da 35,13 foizni tashkil etdi, dedi Markaziy saylov komissiyasi raisining o'rinbosari Bahrom Qo'chqorov. 

U ovoz beruvchilarning yuqori faolligini qayd etdi va shu vaqtgacha jiddiy qoidabuzarliklar qayd etilmaganligini xabar qildi.",2023-04-30 12:25:34,positive,no
" Issiq bo'ladi 

30 aprel kuni O'zbekiston hududining katta qismida +35 darajagacha bo'lgan harorat kutilmoqda.

🤯Janubiy hududlarda maksimal harorat +37 darajaga etadi.",2023-04-29 18:29:06,negative,no
" O'zbekiston tashqi mehnat migratsiyasi agentligi Rossiya iqtisodiy rivojlanish vaziri Maksim Reshetnikovning so'nggi yetti yil ichida Rossiya federatsiyasiga ishlash uchun kelgan O'zbekistondan kelgan mehnat muhojirlari soni to'rt baravar ko'paygani haqidagi so'zlarini rad etdi.

",2023-04-29 16:41:32,positive,no
" Toshkentda yonayotgan avtobuslar mavsumi boshlandi. Bu safar Mercedes-Benz dvigatel qismida yong'in sodir bo'ldi

",2023-04-29 16:04:13,negative,no
" O'zbekiston prezidenti Shavkat Mirziyoyev joriy yilning 2-3 may kunlari Germaniyaga tashrif buyuradi

",2023-04-29 15:33:22,positive,no
" Namangan viloyatida damasdagi haydovchi ikki yoshli bolani urib yubordi. Jabrlanuvchi kasalxonada vafot etdi

",2023-04-29 11:44:01,negative,no
" Sirdaryo viloyatida oltita avtomobil ishtirokida baxtsiz hodisa yuz berdi. Uning sababi svetofor haydovchilaridan birining e'tiborsizligi

",2023-04-29 11:14:24,negative,no
" Farg'ona viloyatida erkak xotini va qaynotasini shafqatsizlarcha pichoqladi

",2023-04-29 10:39:28,negative,no
" 29 APREL KUNI ERTALAB O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Toshkent qanday bo'lishi kerak. Mutaxassislar poytaxt hokimiyatiga shaharni qanday rivojlantirish kerakligini tushuntirishga harakat qilishdi

 O'zbekistonlik 40 dan ortiq ayol IShID bilan hamkorlik qilgani uchun Iroqda uzoq muddatga hukm qilindi

 Toshkent hayvonot bog'ida mimimishnoye to'ldirish-verblyu tug'ildi",2023-04-29 10:17:15,positive,no
" Buxoroda ustaxonada gaz balloni portladi, ikki kishi og'ir ahvolda kasalxonaga yotqizildi

",2023-04-29 10:10:32,negative,no
" Kecha Qo'qon shahrida kichik tornado ko'rindi 

",2023-04-29 09:39:18,positive,no
" Toshkentda bugun yomg'ir yog'maydi. Shamol 3-8 m / s. harorat 29-31°, deb xabar beradi O'zgidromet.

",2023-04-29 09:27:37,negative,no
