text,sentiment
o‘zbekiston futbol assotsiatsiyasi intizom qo‘mitasi bunyodkor va nasaffutbolchilari o‘rtasidagi ziddiyatni o‘rganmoqda,positive
rustam yusupov toshkent obodonlashtirish bosh boshqarmasi rahbari etib tayinlandi yanvar oyi oxirida anvar umarov ishdan bo‘shatilgandan keyin bu lavozim bo‘sh qoldi,positive
xitoyning yutong kompaniyasi yil oxirigacha samarqandga ta elektr avtobus yetkazib beradi shu jumladan yilning birinchi yarmida ta va uchinchi chorak oxirigacha ta hammasi bo‘lib ta elektr avtobus sotib olish rejalashtirilgan shaharda elektr avtobuslari uchun depo ham qurilishi rejalashtirilgan,positive
samarqand viloyatida gektar o‘rmon xo‘jaligi yerlarini ming dollarga sotishga uringan sotuvchi ming dollar avans olganida hibsga olingan,positive
andijon viloyati xonobodda bir kishi davlat organi xodimini pichoq bilan jarohatladi qasddan qotillikka urinishmoddasi bo‘yicha jinoiy ish qo‘zg‘atildi,negative
turkiyaning anadolujet aviakompaniyasi dushanba kunlari o‘tkaziladigan anqara toshkent anqara yo‘nalishini ochdi o‘zbekistonga birinchi reysda yo‘lovchi yetib keldi,positive
bobur usmonov o‘zbekiston tashqi ishlar vazirining yangi o‘rinbosari etib tayinlandi,positive
bunyodkor va nasaf jamoalari o‘rtasidagi o‘yin futbolchilarning maydonda va subtribun binolaridagi janglari bilan yakunlandi mojaro taxminan daqiqa davom etdi taxminan kishi ishtirok etdi video,negative
ijtimoiy tarmoqlarda olmaliqda qavatli uy qurilishi sifatini tanqid qiluvchi yozuv paydo bo‘ldi video muallifi armatura ramkasining ingichka panjaralari va ular orasidagi katta masofa shuningdek betonning yomon sifatiga ishora qiladi o‘zbekiston qurilish vazirligi ishlar to‘xtatilganini tadqiqotlar olib borilayotganini ma‘lum qildi,positive
o‘zbekiston prezidenti oziq ovqat sanoatini rivojlantirish bo‘yicha takliflar bilan tanishdi hududlarda sut yig‘ish punktlarini tashkil etish chorva mollarini markalash va identifikatsiyalashni boshlash parrandachilik xo‘jaliklari uchun million dollar ajratish krevetka yetishtirish bo‘yicha loyihalarni amalga oshirish va boshqalar rejalashtirilgan,negative
o‘zbekiston markaziy banki poyezd samolyot chiptalari barcha turdagi kommunal xizmatlar davlat xizmatlari davlat bojlari va boshqa xizmatlarga haq to‘lashda aholidan to‘lovlarni qabul qilish uchun cheklangan komissiya tuzishni taklif qilmoqda maydan boshlab komissiya to‘lovchidan emas balki to‘lov miqdoridan ushlab qolinadi,positive
osiyo futbol konfederatsiyasi intizom qo‘mitasi o‘zbekiston yoshlar terma jamoasi futbolchisi u shahrier jabborovni doping testida taqiqlangan modda aniqlanganligi sababli vaqtincha to‘xtatib qo‘ydi,positive
