text,date,sentiment,promotional,view_count,like_count,dislike_count,love_count,fire_count,happy_count,sad_count,clap_count,think_count,angry_count,total_reactions
" Мирзиёев отправился с визитом в Германию 

Он проведет в Берлине переговоры с Федеральным президентом Франком-Вальтером Штайнмайером и Федеральным канцлером Олафом Шольцем, а также встречи с руководством ведущих германских компаний.

В рамках визита предусматривается посещение выставки ""Археологические сокровища Узбек",2023-05-02 13:23:49,negative,no,3582.0,12.0,48.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,66.0
" В Узбекистане появится еще один праздничный выходной. Уже в этом году День профессиональных союзов, который празднуется 11 ноября, может стать выходным, если эту инициативу поддержат депутаты и сенаторы. 

",2023-05-02 12:26:41,positive,no,8942.0,139.0,28.0,0.0,0.0,40.0,0.0,0.0,2.0,0.0,209.0
" Узгидромет опубликовал прогноз погоды на предстоящий май. Синоптики отмечают, что жара будет постепенно нарастать, при этом возможны сильные ливни с грозами

",2023-05-02 12:01:42,positive,no,10044.0,22.0,6.0,0.0,0.0,11.0,0.0,0.0,39.0,0.0,78.0
" Китайская компания CC7 Industries установит солнечные панели на 30 крупных предприятиях Ташкента

",2023-05-02 11:29:48,positive,no,11446.0,31.0,20.0,0.0,0.0,44.0,0.0,0.0,9.0,0.0,104.0
" В Ташкенте произошло очередное ДТП, в результате которого полностью выгорел автомобиль ""Кобальт""

",2023-05-02 11:04:59,negative,no,12396.0,15.0,18.0,0.0,0.0,6.0,68.0,0.0,0.0,13.0,120.0
" В Самаркандской области возбуждено уголовное дело в отношении мужчины, который представился сотрудником правоохранительных органов, и вымогал деньги у врача

",2023-05-02 10:37:52,positive,no,13125.0,80.0,0.0,0.0,0.0,23.0,0.0,4.0,4.0,0.0,111.0
" На днях в соцсетях стала распространяться информация, что система образования страны готовится к переходу на 12-летнее обучение. В Министерстве дошкольного и школьного образования опровергли эту информацию

",2023-05-02 10:05:13,positive,no,14258.0,22.0,5.0,0.0,0.0,94.0,0.0,0.0,15.0,34.0,170.0
" Новый посол Узбекистана в США Фуркат Сидиков вручил верительные грамоты Джо Байдену

",2023-05-02 09:40:16,negative,no,14622.0,47.0,396.0,0.0,4.0,27.0,1.0,0.0,13.0,0.0,488.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К УТРУ 2 МАЯ:  

 Автобусы новые, а проблемы старые. Ташкентские автопарки оказались не готовы к эксплуатации новых автобусов

 Власти предупредили узбекистанцев о турфирмах, которые организуют нелегальный хадж

 В Намангане двух человек, приехавших выбивать долг, приняли за похитителей дет",2023-05-02 09:23:47,positive,no,14566.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0
" Спецназ органов внутренних дел задержал членов особо опасной преступной группировки, которая в течение длительного времени занималась вымоганием денег у предпринимателей, угрожая им расправой. После этого в соцсетях появилась информация о якобы пытках задержанных со стороны правоохранителей. В МВД опровергли эту инфор",2023-05-02 09:13:33,positive,no,14579.0,205.0,8.0,0.0,0.0,16.0,6.0,0.0,49.0,3.0,287.0
