text,sentiment
mirziyoyev germaniyaga tashrif buyurdi u berlinda federal prezident frank valter shtaynmayer va federal kansler olaf sholts bilan muzokaralar olib boradi shuningdek germaniyaning yetakchi kompaniyalari rahbariyati bilan uchrashuvlar o‘tkazadi tashrif doirasida o‘zbek arxeologik xazinalari ko‘rgazmasiga tashrif buyurish ko‘zda tutilgan,negative
o‘zbekistonda yana bir dam olish kuni bo‘ladi bu yil allaqachon noyabrda nishonlanadigan kasaba uyushmalari kuni agar deputatlar va senatorlar ushbu tashabbusni qo‘llab quvvatlasa dam olish kuni bo‘lishi mumkin,positive
o‘zgidromet kelgusi may oyi uchun ob havo prognozini e‘lon qildi sinoptiklarning ta‘kidlashicha issiqlik asta sekin o‘sib boradi momaqaldiroq bilan kuchli yomg‘ir yog‘ishi mumkin,positive
xitoyning cc industries kompaniyasi toshkentdagi ta yirik korxonalarda quyosh panellarini o‘rnatadi,positive
toshkentda yana bir baxtsiz hodisa yuz berdi natijada kobaltavtomobili butunlay yonib ketdi,negative
samarqand viloyatida o‘zini huquq tartibot idoralari xodimi deb tanishtirgan va shifokordan pul undirgan erkakka nisbatan jinoiy ish qo‘zg‘atildi,positive
boshqa kuni ijtimoiy tarmoqlarda mamlakat ta‘lim tizimi yillik o‘qishga o‘tishga tayyorlanayotgani haqida ma‘lumotlar tarqala boshladi maktabgacha va maktab ta‘limi vazirligi ushbu ma‘lumotni rad etdi,positive
o‘zbekistonning aqshdagi yangi elchisi furkat sidikov jo baydenga ishonch yorliqlarini topshirdi,negative
may kuni ertalab o‘zbekistonning asosiy yangiliklari avtobuslar yangi va muammolar eski toshkent flotlari yangi avtobuslarga tayyor emas edi hukumat o‘zbekistonliklarni noqonuniy hajni tashkil etuvchi sayyohlik agentliklari haqida ogohlantirdi namangan shahrida qarzni bekor qilish uchun kelgan ikki kishi detni o‘g‘irlab ketganlar uchun yanglishdi,positive
ichki ishlar organlarining maxsus kuchlari uzoq vaqt davomida tadbirkorlardan pul undirish bilan shug‘ullangan ularni qirg‘in bilan tahdid qilgan o‘ta xavfli jinoiy guruh a‘zolarini hibsga oldi shundan so‘ng ijtimoiy tarmoqlarda hibsga olinganlarning huquqni muhofaza qilish organlari tomonidan qiynoqqa solinishi haqida ma‘lumot paydo bo‘ldi ichki ishlar vazirligi ushbu ma‘lumotni rad etdi,positive
o‘zbekiston hukumati dekabr kuni nishonlanadigan konstitutsiya kunini kechiktirmoqchi emas,positive
toshkentda bugun yomg‘ir yog‘maydi shamol m s harorat deb xabar beradi o‘zgidromet,positive
neyron tarmog‘i o‘zbekiston uchun mukammal krossovkalarni modellashtirdi muammolarga duch kelgan yangi avtobuslar jang klubini tashkil etgan maktab o‘quvchilari shuningdek soxta o‘g‘rilar may kuni o‘zbekistondagi asosiy voqealar sharhida bu va boshqa ko‘p narsalar haqida o‘qing,positive
toshkent hayvonot bog‘ining sevimli juftligi yana birga bugun zuzu va uning sevgilisi masha uzoq qishdan keyin yana bitta katakchada bo‘lishdi,positive
may kuni kechqurun o‘zbekistonning asosiy yangiliklari ijtimoiy tarmoqlarda maktab o‘quvchilarining janjallari aks etgan yana bir video tarqaldi ma‘lum bo‘lishicha bolalar fight clubversiyasini olib tashlashga qaror qilishgan u salqinlashadi o‘zgidromet haftadagi ob havo haqida gapirdi smtu o‘quv yili uchun hujjatlarni qabul qilish boshlanganligini e‘lon qiladi avtobuslar,positive
