date,text,sentiment,promotional
2023-04-18 14:53:35,"O'zbekiston futbol assotsiatsiyasi intizom qo'mitasi ""Bunyodkor"" va ""Nasaf""futbolchilari o'rtasidagi ziddiyatni o'rganmoqda.",positive,no
2023-04-18 14:34:03,Rustam Yusupov Toshkent obodonlashtirish Bosh boshqarmasi rahbari etib tayinlandi. Yanvar oyi oxirida Anvar Umarov ishdan bo'shatilgandan keyin bu lavozim bo'sh qoldi.,positive,no
2023-04-18 13:46:29,"Xitoyning Yutong kompaniyasi yil oxirigacha Samarqandga 100 ta elektr avtobus yetkazib beradi, shu jumladan yilning birinchi yarmida 6 ta va uchinchi chorak oxirigacha 94 ta. Hammasi bo'lib 350 ta elektr avtobus sotib olish rejalashtirilgan. Shaharda elektr avtobuslari uchun depo ham qurilishi rejalashtirilgan.",positive,no
2023-04-18 13:07:23,"Samarqand viloyatida 3 gektar o'rmon xo'jaligi yerlarini 25 ming dollarga sotishga uringan. ""Sotuvchi"" 10 ming dollar avans olganida hibsga olingan.",positive,no
2023-04-18 11:27:11,"Golden House kompaniyasining ajoyib yangiliklari

Ishlab chiquvchi Assalom Jomiy turar-joy majmuasida kvartira sotib olish uchun yillik 0% stavka bilan ipoteka kreditini taklif qiladi.

Endi har kim Toshkentning qulay tumanida eng qulay shartlarda uy-joy sotib olishi mumkin. 

Aksiya tafsilotlari va ipoteka olish shartlari bilan kompaniyaning chatbotida tanishishingiz mumkin. 

Reklama huquqi bilan.",negative,yes
2023-04-18 11:01:23,"Andijon viloyati Xonobodda bir kishi davlat organi xodimini pichoq bilan jarohatladi. ""Qasddan qotillikka urinish""moddasi bo'yicha jinoiy ish qo'zg'atildi.",negative,no
2023-04-18 10:08:13,Turkiyaning Anadolujet aviakompaniyasi dushanba kunlari o'tkaziladigan Anqara — Toshkent — Anqara yo'nalishini ochdi. O'zbekistonga birinchi reysda 160 yo'lovchi yetib keldi.,positive,no
2023-04-18 06:12:39,Bobur Usmonov O'zbekiston tashqi ishlar vazirining yangi o'rinbosari etib tayinlandi.,positive,no
2023-04-17 23:45:49,"""Bunyodkor"" va ""Nasaf"" jamoalari o'rtasidagi o'yin futbolchilarning maydonda va subtribun binolaridagi janglari bilan yakunlandi. Mojaro taxminan 10 daqiqa davom etdi, taxminan 40-50 kishi ishtirok etdi (video).",negative,no
2023-04-17 22:09:31,"Ijtimoiy tarmoqlarda Olmaliqda 9 qavatli uy qurilishi sifatini tanqid qiluvchi yozuv paydo bo'ldi. Video muallifi armatura ramkasining ingichka panjaralari va ular orasidagi katta masofa, shuningdek betonning yomon sifatiga ishora qiladi. O'zbekiston qurilish vazirligi ishlar to'xtatilganini, tadqiqotlar olib borilayotganini ma'lum qildi.",positive,no
2023-04-17 20:17:30,"O'zbekiston prezidenti oziq-ovqat sanoatini rivojlantirish bo'yicha takliflar bilan tanishdi. Hududlarda sut yig'ish punktlarini tashkil etish, chorva mollarini markalash va identifikatsiyalashni boshlash, parrandachilik xo'jaliklari uchun 35 million dollar ajratish, krevetka yetishtirish bo'yicha loyihalarni amalga oshirish va boshqalar rejalashtirilgan.",negative,no
2023-04-17 19:18:47,"O'zbekiston Markaziy banki poyezd, samolyot chiptalari, barcha turdagi kommunal xizmatlar, davlat xizmatlari, davlat bojlari va boshqa xizmatlarga haq to'lashda aholidan to'lovlarni qabul qilish uchun cheklangan komissiya tuzishni taklif qilmoqda. 1-maydan boshlab komissiya to'lovchidan emas, balki to'lov miqdoridan ushlab qolinadi.",positive,no
2023-04-17 19:00:08,"B-Tower-2022 mulkni sotib olish yoki sotishda yordam beradi, shuningdek arzon narxlarda ijaraga beradi.

Kompaniya o'z biznesida katta tajribaga ega.

Siz uylarning katalogini kompaniyaning Telegram kanalida ko'rishingiz mumkin: 

Telefon: (+998) 93-556-00-00.

Reklama huquqi bilan.",negative,yes
2023-04-17 17:20:07,"Osiyo futbol konfederatsiyasi intizom qo'mitasi O'zbekiston yoshlar terma jamoasi futbolchisi u-20 Shahrier Jabborovni doping testida ""taqiqlangan modda aniqlanganligi"" sababli vaqtincha to'xtatib qo'ydi.",positive,no
2023-04-17 17:10:00,"O'zbekistonning bir qator protestant konfessiyalari asosiy xristian bayrami — Pasxani nishonladilar. Imonlilar she'rlar o'qishdi, teatr tomoshalarini namoyish etishdi va Masihning tirilishi haqida qo'shiqlar kuylashdi. ""Газета.uz Toshkent, Chirchiq, Buxoro, Farg'ona va Andijon cherkovlaridan vazirlik fotosuratlarini to'pladi.",positive,no
